WKT,VILL_NAME,Survey_No,Mandal,District,State
"POLYGON ((75.9635680777601 25.6720924634342,75.9635946719569 25.6720729754108,75.9635571709313 25.6719979141621,75.9635177840806 25.6718960562349,75.9634870587954 25.6718151768509,75.9634287954039 25.6716712702367,75.9634034088437 25.6716018962125,75.9633422021516 25.6714117768569,75.9632262105476 25.6714471079443,75.963363403045 25.6718637930651,75.9634449901301 25.6720588636083,75.963458596012 25.6720949565965,75.9634861667972 25.6721421712536,75.9635680777601 25.6720924634342))",DEI,"3777",Nainwa,Bundi,Rajasthan
"POLYGON ((75.9625252729135 25.6763857676634,75.9624950317022 25.6762515871661,75.9624883960496 25.6761496802659,75.9624264491363 25.6760163243229,75.96234722462 25.6758489502119,75.9621927126342 25.6755376921952,75.962130906925 25.6755159433832,75.962010339342 25.6754973724379,75.9620226119221 25.6755207434803,75.9621804267944 25.6758949804861,75.9622837614028 25.6761200105124,75.9622918546451 25.6761715194113,75.9623004457227 25.676199961837,75.9623716360071 25.6764249325559,75.962368357491 25.6764257973604,75.9625252729135 25.6763857676634))",DEI,"3448",Nainwa,Bundi,Rajasthan
"POLYGON ((75.9609551680808 25.6766080038183,75.961001546694 25.6765928955191,75.9608437339157 25.6762259243055,75.9606391371566 25.6758096262095,75.9606172684797 25.6757288511203,75.9605588461411 25.6757356434628,75.9604782159067 25.6757613116493,75.9608303207878 25.6766253776899,75.9609551680808 25.6766080038183))",DEI,"3427",Nainwa,Bundi,Rajasthan
"POLYGON ((75.9592131119267 25.6775917288614,75.9593347593315 25.6775649336556,75.9594180171563 25.6775483355562,75.9592782971136 25.6771540510615,75.9592594008944 25.6770959235643,75.9590737316224 25.6771351739923,75.9589263532891 25.6771707103772,75.959043463325 25.6775357646661,75.9590684570939 25.6776070658671,75.9592131119267 25.6775917288614))",DEI,"3411",Nainwa,Bundi,Rajasthan
"POLYGON ((75.9596635082013 25.6782532393523,75.9598464957445 25.6782055664563,75.960129508488 25.6781534617748,75.9603636479058 25.678113941966,75.960472538255 25.6780993547831,75.9604714699824 25.6780334369402,75.9604302655367 25.6778427455398,75.9603960224855 25.6777052031259,75.9603367467737 25.6777111857433,75.9600824964091 25.6777609345957,75.9600175902866 25.6777736723986,75.959420153735 25.6779088727638,75.9594467202268 25.6780268039204,75.9594872779649 25.6781840711567,75.959510457042 25.678266075811,75.9595262258597 25.6782749203429,75.9596635082013 25.6782532393523))",DEI,"3400",Nainwa,Bundi,Rajasthan
"POLYGON ((75.9440230291549 25.6838215165966,75.9440197616315 25.6836737918575,75.9440245678236 25.6835870339573,75.9439516062441 25.6835687175227,75.943846184748 25.6835481108313,75.9436623166815 25.6835010270642,75.9435891028194 25.6834803499944,75.9435449593451 25.683472755783,75.9435088038668 25.6834590027238,75.9434998237007 25.6834702518259,75.9434742084667 25.6835728908379,75.9434054737193 25.6837394619748,75.9433590637052 25.6838488016865,75.9433560083214 25.6838569289609,75.9435177703709 25.683905811921,75.9437322204949 25.6839592966682,75.9437495401995 25.6838725769358,75.9439256600736 25.6839270294847,75.9439960915992 25.6839497408938,75.9440418394431 25.6839641470973,75.9440230291549 25.6838215165966))",DEI,2651/1,Nainwa,Bundi,Rajasthan
"POLYGON ((75.9066452633377 25.6906342741698,75.9067479050005 25.6905922842781,75.9069086307865 25.6905325971783,75.9070882729447 25.6904792819231,75.9072785837905 25.6904045669168,75.9073965940861 25.6903633923896,75.9068660351817 25.6895760963368,75.9067330395336 25.6896601515056,75.9062596183366 25.6899275148558,75.9058871734982 25.6901471689702,75.9059299936726 25.6901918496794,75.9059802587746 25.6902852977881,75.9061308558743 25.6904310332165,75.9063868172076 25.6906073240624,75.9065234940011 25.6906849610421,75.9066452633377 25.6906342741698))",DEI,4603/7,Nainwa,Bundi,Rajasthan
"POLYGON ((75.9077056932183 25.6909308169696,75.9082706921773 25.6906602605499,75.9086091814524 25.6904721126149,75.9088952625921 25.6903289370779,75.9088438235152 25.6902874016973,75.9087539508966 25.6902189099852,75.908751536313 25.690110350681,75.908747926977 25.6899748824667,75.908747129194 25.6898614312043,75.908735089269 25.689831717993,75.908620591425 25.6897826809727,75.9085661413521 25.6896994718786,75.9085178844127 25.6896226779754,75.9084740715818 25.6895430444882,75.908439138356 25.6894788397077,75.9084038677894 25.6894717657066,75.908218492271 25.6894435885727,75.9080723802563 25.6894256259339,75.9080131611792 25.689451006334,75.9080096382667 25.6895875361034,75.9080182245682 25.689614274126,75.9082099808508 25.6896083901895,75.9082714606334 25.6896180702153,75.9084119527003 25.6896484686925,75.9084305630787 25.6896987007642,75.9084204856224 25.6897670693884,75.9083943057772 25.6898122919883,75.908317020547 25.6898522058839,75.9082650341749 25.6898546550314,75.9081723185096 25.6898443755908,75.9079458665958 25.6898002285328,75.9078109718819 25.6897784649437,75.9078538434643 25.6898554596677,75.9079035779172 25.6899418826361,75.9079545237677 25.6900821535741,75.9079822122824 25.6902007314197,75.9079869155784 25.6902253065577,75.9080175504595 25.6902837532548,75.9081033933578 25.6904253950844,75.9081383582088 25.6904899436018,75.9080219699437 25.6905544604208,75.9079717432515 25.6905737624133,75.9077793431247 25.6906664800288,75.9076488035255 25.6907306538924,75.9075213694526 25.69078394311,75.9075899131153 25.6908815635418,75.9076542706124 25.6909646662315,75.9076669361453 25.690978907142,75.9077056932183 25.6909308169696))",DEI,36/4185,Nainwa,Bundi,Rajasthan
"POLYGON ((75.9071611880807 25.6909387284128,75.9072866669223 25.6908733435749,75.9074597982088 25.6907949894645,75.9075213694526 25.69078394311,75.9076488035255 25.6907306538924,75.9077793431247 25.6906664800288,75.9079717432515 25.6905737624133,75.9080219699437 25.6905544604208,75.9081383582088 25.6904899436018,75.9081033933578 25.6904253950844,75.9080175504595 25.6902837532548,75.9079869155784 25.6902253065577,75.9079822122824 25.6902007314197,75.907909911561 25.6902169963693,75.9078492663513 25.6902306437646,75.9077408680664 25.6902460860597,75.9076060862621 25.6902837380142,75.9074437678818 25.6903439604115,75.9073965940861 25.6903633923896,75.9072785837905 25.6904045669168,75.9070882729447 25.6904792819231,75.9069086307865 25.6905325971783,75.9067479050005 25.6905922842781,75.9067909728957 25.6906548307357,75.9068515064645 25.6907562657311,75.90690858225 25.6908234034329,75.9069211512211 25.6908267758783,75.906986233832 25.6909002118245,75.907053926268 25.690989415162,75.9071611880807 25.6909387284128))",DEI,"16",Nainwa,Bundi,Rajasthan
"POLYGON ((75.9069241017936 25.6911030999094,75.9070175049227 25.6910652327116,75.9070107838518 25.6910298483469,75.907053926268 25.690989415162,75.906986233832 25.6909002118245,75.9069211512211 25.6908267758783,75.90690858225 25.6908234034329,75.9068515064645 25.6907562657311,75.9067909728957 25.6906548307357,75.9067479050005 25.6905922842781,75.9066452633377 25.6906342741698,75.9065234940011 25.6906849610421,75.9065550855885 25.6907336362455,75.9066662548969 25.690883975818,75.9067568617377 25.6910250530847,75.9068430825094 25.6911378534742,75.9069241017936 25.6911030999094))",DEI,"15",Nainwa,Bundi,Rajasthan
